MeterpointID,MeterNumber,PostalCode,Id,Substation
707057500017223004,15672312,1680,91414,H635L
707057500017222458,18020312,1680,91416,H625L
707057500017223080,15700599,1680,91417,H635L
707057500017221901,15700396,1680,91419,H611L
707057500017224827,15699666,1692,91423,H720L
707057500017223233,16632203,1692,91426,H705L
707057500017222762,15717968,1680,91427,H630L
707057500017221758,15700222,1680,91428,H610L
707057500017221888,15700398,1680,91429,H611L
707057500017223257,15674008,1692,91431,H705L
707057500017222861,15674254,1680,91432,H630L
707057500017221727,18020266,1680,91437,H610L
707057500017224940,15673188,1692,91438,H720L
707057500017223066,15672308,1680,91440,H635L
707057500017222793,15718397,1680,91441,H630L
707057500017221819,15672244,1680,91444,H610L
707057500017223301,15700274,1680,91445,H705L
707057500017222908,15691432,1680,91447,H630L
707057500017223271,15700273,1680,91450,H705L
707057500017222281,15718297,1680,91451,H620L
707057500017223349,18020131,1692,91455,H705L
707057500017222199,15674119,1680,91457,H615L
707057500017222571,15673131,1680,91458,H625L
707057500017223363,15673153,1680,91462,H705L
707057500017223325,15674110,1692,91463,H705L
707057500017222328,16632882,1680,91464,H620L
707057500017222168,16044848,1680,91468,H611L
707057500017222892,15717992,1680,91473,H630L
707057500017224858,15701173,1692,91474,H720L
707057500017221703,15691278,1680,91475,H610L
707057500017222984,15672533,1684,91476,H635L
707057500017224872,16044774,1692,91477,H720L
707057500017224261,15699686,1692,91478,H713L
707057500017222748,15691411,1680,91486,H630L
707057500017221857,15717813,1680,91487,H610L
707057500017222649,16632379,1680,91488,H625L
707057500017222144,15700589,1680,91491,H611L
707057500017223042,15672879,1680,91492,H635L
707057500017223141,15700597,1680,91494,H635L
707057500017224896,16632254,1692,91495,H720L
707057500017223189,15700596,1680,91498,H635L
707057500017222304,15718322,1680,91501,H620L
707057500017221796,15717762,1680,91504,H610L
707057500017221772,15700223,1680,91505,H610L
707057500017222687,18020246,1680,91506,H625L
707057500017223035,15701743,1680,91509,H635L
707057500017224339,15699701,1692,91512,H715L
707057500017222724,15717971,1680,91514,H630L
707057500017222496,16632850,1680,91516,H625L
707057500017222250,15718409,1680,91517,H620L
707057500017222779,15672464,1680,91518,H630L
707057500017223103,15672313,1684,91520,H635L
707057500017224957,15673187,1692,91523,H720L
707057500017223127,15672881,1680,91527,H635L
707057500017222465,16632112,1680,91528,H625L
707057500017222670,18020247,1680,91530,H625L
707057500017222632,18020313,1680,91533,H625L
707057500017222939,15673333,1680,91534,H630L
707057500017224223,16632199,1680,91535,H713L
707057500017224810,15699660,1692,91539,H720L
707057500017223011,15700297,1680,91541,H635L
707057500017223165,15700672,1680,91544,H635L
707057500017224841,15671799,1692,91545,H720L
707057500017222588,18020311,1680,91546,H625L
707057500017222236,15717839,1680,91551,H615L
707057500017223097,16044789,1680,91553,H635L
707057500017223790,15672283,1692,91555,H712L
707057500017223295,15673152,1692,91556,H705L
707057500017222656,18020235,1680,91557,H625L
707057500017222618,18020223,1680,91558,H625L
707057500017223264,15673156,1680,91565,H705L
707057500017222137,15700651,1680,91567,H611L
707057500017223240,15700275,1680,91568,H705L
707057500017222717,15717666,1680,91569,H630L
707057500017222922,15718424,1680,91570,H630L
707057500017223332,16632140,1680,91572,H705L
707057500017222663,18020123,1680,91577,H625L
707057500017223073,15701738,1680,91578,H635L
707057500017223226,15700272,1680,91579,H705L
707057500017223318,15674109,1680,91580,H705L
707057500017223356,15673154,1692,91584,H705L
707057500017221895,15700397,1680,91587,H611L
707057500017222991,15672882,1680,91589,H635L
707057500017224889,15671797,1692,91590,H720L
707057500017222854,18020319,1680,91591,H630L
707057500017224216,16632206,1692,91594,H713L
707057500017223158,15700003,1680,91595,H635L
707057500017224209,15673230,1692,91598,H713L
707057500017223837,15672276,1692,91600,H712L
707057500017223929,15699687,1692,91602,H712L
707057500017223745,16632148,1692,91604,H711L
707057500017224391,16632927,1692,91605,H715L
707057500017224315,15700210,1692,91607,H715L
707057500017223219,16044957,1680,91608,H705L
707057500017223905,15674112,1692,91610,H712L
707057500017225299,15672960,1692,91613,H725L
707057500017223783,15699690,1692,91615,H713L
707057500017224964,15673190,1692,91616,H720L
707057500017223578,15700204,1692,91619,H710L
707057500017224681,15700419,1692,91620,H720L
707057500017223943,15672278,1692,91622,H712L
707057500017223820,16632149,1692,91625,H712L
707057500017223646,15674004,1692,91626,H711L
707057500017224278,15700312,1680,91628,H713L
707057500017224254,15699684,1680,91631,H713L
707057500017225015,16632142,1692,91632,H720L
707057500017223844,16044773,1692,91634,H712L
707057500017223875,15700327,1692,91637,H712L
707057500017225039,16632146,1692,91639,H720L
707057500017224360,15672039,1692,91640,H715L
707057500017223622,15674006,1692,91643,H711L
707057500017223752,16632150,1692,91644,H712L
707057500017223806,15674111,1692,91646,H712L
707057500017223936,15701311,1692,91649,H713L
707057500017224650,15671966,1692,91650,H720L
707057500017223912,15672279,1692,91653,H712L
707057500017224995,15673189,1692,91655,H720L
707057500017224698,15671965,1692,91656,H720L
707057500017224971,15673185,1692,91658,H720L
707057500017223653,15673130,1692,91661,H711L
707057500017224384,16632923,1692,91662,H715L
707057500017224230,16632200,1692,91665,H713L
707057500017224285,15700354,1680,91668,H713L
707057500017223585,16632210,1692,91670,H711L
707057500017224308,15700391,1692,91672,H715L
707057500017223691,18020261,1692,91673,H711L
707057500017224407,15700215,1692,91678,H715L
707057500017225022,16632141,1692,91681,H720L
707057500017223967,16044772,1692,91682,H712L
707057500017224353,15700748,1692,91687,H715L
707057500017223738,15700305,1692,91689,H711L
707057500017223851,16044659,1692,91690,H712L
707057500017224711,15699720,1692,91691,H725L
707057500017223769,15672908,1692,91695,H713L
707057500017223615,16632895,1692,91696,H711L
707057500017223202,15672559,1680,91697,H635L
707057500017224377,15701310,1692,91700,H715L
707057500017225305,16044743,1692,91701,H725L
707057500017223882,15700330,1692,91705,H712L
707057500017223660,16632476,1692,91707,H711L
707057500017223899,15674114,1692,91710,H712L
707057500017225336,15700702,1692,91711,H725L
707057500017224292,16632205,1684,91713,H712L
707057500017225381,16632556,1692,91717,H725L
707057500017223974,16044768,1692,91722,H713L
707057500017223639,15674003,1692,91724,H711L
707057500017223707,16632897,1692,91727,H711L
707057500017225008,15673183,1692,91729,H720L
707057500017223813,15700325,1692,91730,H712L
707057500017225046,15717999,1692,91734,H720L
707057500017224247,16632209,1692,91737,H713L
707057500017223950,16632154,1692,91738,H712L
707057500017224414,16632928,1692,91744,H715L
707057500017223868,15699705,1692,91746,H712L
707057500017223677,16044765,1692,91747,H711L
707057500017225404,15701839,1692,91750,H725L
707057500017225138,16632439,1692,91752,H720L
707057500017224193,15673229,1692,91754,H713L
707057500017224988,15673184,1692,91755,H720L
707057500017224735,16044950,1692,91758,H720L
707057500017224742,15700652,1692,91760,H720L
707057500017223608,15674005,1692,91763,H711L
707057500017224667,16632233,1692,91764,H720L
707057500017225091,15700211,1692,91766,H720L
707057500017224421,16632929,1692,91767,H715L
707057500017224469,16632925,1692,91770,H715L
707057500017225343,15699709,1692,91772,H725L
707057500017225312,15673473,1692,91773,H725L
707057500017225282,15672927,1692,91777,H725L
707057500017224704,15699793,1692,91778,H720L
707057500017225398,16632307,1692,91779,H725L
707057500017225220,16632269,1692,91781,H720L
707057500017225374,15672050,1692,91785,H725L
707057500017224537,18020260,1692,91786,H715L
707057500017223714,15700300,1692,91787,H711L
707057500017225060,15672561,1692,91790,H720L
707057500017224773,15699667,1692,91792,H720L
707057500017225350,15672003,1692,91794,H725L
707057500017224551,15672038,1692,91796,H715L
707057500017224483,15700395,1692,91800,H715L
707057500017224575,16632926,1680,91803,H715L
707057500017223776,15673215,1692,91804,
707057500017225107,15700664,1692,91806,H720L
707057500017224599,16044769,1692,91807,H720L
707057500017224506,15700351,1692,91810,H715L
707057500017225428,16632444,1692,91811,H725L
707057500017224728,18020268,1692,91814,H720L
707057500017224452,16632930,1692,91815,H715L
707057500017223486,15701486,1692,91821,H710L
707057500017223400,15673157,1680,91824,H705L
707057500017225268,15701307,1690,91825,H725L
707057500017224759,15700475,1692,91826,H720L
707057500017224490,15700390,1692,91827,H715L
707057500017225329,15699428,1692,91829,H725L
707057500017224018,15674113,1692,91834,H713L
707057500017223592,16632919,1692,91835,H711L
707057500017225077,15672562,1692,91837,H720L
707057500017225411,16632308,1692,91838,H725L
707057500017224438,15700392,1692,91843,H715L
707057500017225114,16632234,1692,91844,H720L
707057500017224544,15672043,1692,91846,H715L
707057500017225084,16632294,1692,91847,H720L
707057500017223417,15673158,1692,91851,H705L
707057500017224520,15672037,1692,91852,H715L
707057500017224636,16044750,1692,91854,H720L
707057500017224445,15700389,1692,91855,H715L
707057500017223561,15700205,1692,91859,H710L
707057500017225435,15671992,1692,91860,H725L
707057500017224766,15699662,1692,91862,H720L
